X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-92.33095,48.10821,623.00903,,,,CAMP-1896,CAMP-1896,CAMP- Astrid Lake - 1896 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1896&elat=48.10821&elon=-92.33095,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.244285,48.18788,623.00903,,,,CAMP-1897,CAMP-1897,CAMP- Upper Pauness Lake - 1897 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1897&elat=48.18788&elon=-92.244285,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.23969,48.19288,623.00903,,,,CAMP-1898,CAMP-1898,CAMP- Lower Pauness Lake - 1898 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1898&elat=48.19288&elon=-92.23969,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.213005,48.19999,623.00903,,,,CAMP-1899,CAMP-1899,CAMP- Shell Lake - 1899 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1899&elat=48.19999&elon=-92.213005,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.194215,48.21044,623.00903,,,,CAMP-1900,CAMP-1900,CAMP- Little Shell Lake - 1900 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1900&elat=48.21044&elon=-92.194215,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.185525,48.21344,623.00903,,,,CAMP-1901,CAMP-1901,CAMP- Lynx Lake - 1901 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1901&elat=48.21344&elon=-92.185525,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.19143,48.218,623.00903,,,,CAMP-1902,CAMP-1902,CAMP- Lynx Lake - 1902 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1902&elat=48.218&elon=-92.19143,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.192337,48.22452,623.00903,,,,CAMP-1903,CAMP-1903,CAMP- Lynx Lake - 1903 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1903&elat=48.22452&elon=-92.192337,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.200325,48.22088,623.00903,,,,CAMP-1904,CAMP-1904,CAMP- Lynx Lake - 1904 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1904&elat=48.22088&elon=-92.200325,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.201905,48.2171,623.00903,,,,CAMP-1905,CAMP-1905,CAMP- Lynx Lake - 1905 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1905&elat=48.2171&elon=-92.201905,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.220782,48.23916,623.00903,,,,CAMP-1906,CAMP-1906,CAMP- Heritage Lake - 1906 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1906&elat=48.23916&elon=-92.220782,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.249482,48.24574,623.00903,,,,CAMP-1907,CAMP-1907,CAMP- Loon Lake - 1907 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1907&elat=48.24574&elon=-92.249482,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.164189,48.23818,623.00903,,,,CAMP-1908,CAMP-1908,CAMP- Hustler Lake - 1908 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1908&elat=48.23818&elon=-92.164189,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.149817,48.23012,623.00903,,,,CAMP-1909,CAMP-1909,CAMP- Hustler Lake - 1909 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1909&elat=48.23012&elon=-92.149817,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
-92.14288,48.22864,623.00903,,,,CAMP-1910,CAMP-1910,CAMP- Hustler Lake - 1910 - status: open,,https://bwca.com?fuseaction=maps.camp_info&entityid=1910&elat=48.22864&elon=-92.14288,Camp Details at BWCA.com,,,,,campsite,,,,,,,,
